cnpjorigemdados;dataatualizacao;iditem;descricaoitem;vlrunitario;armazem;qtdtotal;vlrtotal;qtdpedidavenda;qtdreservada;qtdprevisaoentrada;dtultimavenda;teste
12345678000199;2021-08-19 00:45:36;03H2001;Parafuso;7.33;P06--232;4.00;29.30;0;0;0;2020-12-31;2021-01-11
12345678000199;2021-08-19 00:45:36;03H2303;Parafuso;1.88;P03--275;14.00;26.38;0;0;0;2019-05-16;2019-03-22
12345678000199;2021-08-19 00:45:36;03H2334;Parafuso;2.62;P16--230;4.00;10.47;0;0;0;2020-12-31;2019-03-06
12345678000199;2021-08-19 00:45:36;03M7069;PARAFUSO;1.02;P07--038;8.00;8.18;0;0;0;2019-09-04;2019-09-03
12345678000199;2021-08-19 00:45:36;03M7090;PARAFUSO;0.58;P06--130;6.00;3.50;0;0;0;2019-04-18;2019-03-27
12345678000199;2021-08-19 00:45:36;03M7093;PARAFUSO;0.81;P02--312;21.00;17.01;0;0;0;2020-12-15;2020-12-09
12345678000199;2021-08-19 00:45:36;03M7094;PARAFUSO;0.66;P07--016;2.00;1.32;0;0;0;2020-10-16;2020-09-23
12345678000199;2021-08-19 00:45:36;03M7099;PARAFUSO;1.99;P03--102;26.00;51.73;0;0;0;2020-03-20;2020-03-10
12345678000199;2021-08-19 00:45:36;03M7151;PARAFUSO;1.67;P02--288;1.00;1.67;0;0;0;2019-12-18;2019-12-13
12345678000199;2021-08-19 00:45:36;03M7152;PARAFUSO;0.83;P07--030;50.00;41.71;0;0;0;2016-02-16;2020-01-29
12345678000199;2021-08-19 00:45:36;03M7183;PARAFUSO;0.70;P05--045;14.00;9.77;0;0;0;2019-05-20;2020-12-09
12345678000199;2021-08-19 00:45:36;03M7185;PARAFUSO;0.23;P06--043;3.00;0.68;0;0;0;2019-12-10;2018-06-15
12345678000199;2021-08-19 00:45:36;03M7187;PARAFUSO;1.09;P11--033;8.00;8.75;0;0;0;2020-03-24;2020-01-24
12345678000199;2021-08-19 00:45:36;03M7189;Parafuso;0.94;P03--114;6.00;5.62;0;0;0;2020-03-19;1900-01-01
12345678000199;2021-08-19 00:45:36;03M7191;PARAFUSO;0.61;P03--267;3.00;1.84;0;0;0;2020-02-11;2020-02-11
12345678000199;2021-08-19 00:45:36;03M7192;PARAFUSO;1.15;P16--165;12.00;13.78;0;0;0;2020-11-18;2020-11-16
12345678000199;2021-08-19 00:45:36;03M7194;PARAFUSO;1.13;P06--245;45.00;50.90;0;0;0;2020-12-14;2020-12-22
12345678000199;2021-08-19 00:45:36;03M7195;PARAFUSO;1.94;P04--027;71.00;137.54;0;0;0;2020-12-14;2021-01-19
12345678000199;2021-08-19 00:45:36;03M7196;PARAFUSO;1.07;P04--006;10.00;10.66;0;0;0;2020-03-30;2020-03-23
12345678000199;2021-08-19 00:45:36;H211285;COROA;220.61;P06--084;2.00;441.22;0;0;0;2020-04-09;2020-04-01
12345678000199;2021-08-19 00:45:36;0491326957;Anel o ;14.11;P08--002;2.00;28.21;0;0;0;2021-01-12;2021-01-14
12345678000199;2021-08-19 00:45:36;0491346063;Anel o ;30.22;P09--067;2.00;60.44;0;0;0;2020-10-29;2020-12-16
12345678000199;2021-08-19 00:45:36;0601346826;MANOMETRO ;419.61;P06--175;1.00;419.61;0;0;0;2013-08-28;2020-09-25
12345678000199;2021-08-19 00:45:36;0610005800;BUCHA;24.38;P03--092;4.00;97.53;0;0;0;2020-12-31;2021-01-05
12345678000199;2021-08-19 00:45:36;0610297978;Kit retentor ;217.49;P09--039;2.00;434.97;0;0;0;2020-12-14;2020-12-22
12345678000199;2021-08-19 00:45:36;0611304747;Guia do pistao cil h;232.09;P08--019;1.00;232.09;0;0;0;2016-11-03;2020-08-17
12345678000199;2021-08-19 00:45:36;0611304751;Kit retentor ;34.71;P16--074;7.00;242.97;0;0;0;2020-10-29;2020-11-06
12345678000199;2021-08-19 00:45:36;0621305006;Disco;36.57;P03--004;15.00;548.52;0;0;0;2020-12-14;2020-12-29
12345678000199;2021-08-19 00:45:36;0621321111;KIT RETENTOR ;292.34;P08--057;2.00;584.67;0;0;0;2019-11-08;2019-11-12
12345678000199;2021-08-19 00:45:36;062159 ;EMENDA SIMPLES 80MM ;10.05;P02--007;4.00;40.21;0;0;0;2016-08-18;1900-01-01
12345678000199;2021-08-19 00:45:36;063090 ;REDUCAO HL 80MM ;20.48;P08--011;5.00;102.39;0;0;0;2016-08-09;1900-01-01
12345678000199;2021-08-19 00:45:36;0631303679;VEDACAO;24.67;P05--090;6.00;147.99;0;0;0;2019-10-15;2019-10-22
12345678000199;2021-08-19 00:45:36;0631308922;Placa de conexao;346.20;P06--204;9.00;3115.82;0;0;0;2020-07-24;2020-07-08
12345678000199;2021-08-19 00:45:36;0631326136;ANEL DE PRESSAO ;9.97;P06--106;6.00;59.79;0;0;0;2020-06-10;2020-06-17
12345678000199;2021-08-19 00:45:36;0631326139;ESPACADOR ;6.29;P09--017;8.00;50.30;0;0;0;2020-06-10;2020-09-08
12345678000199;2021-08-19 00:45:36;0631356771;Controlador eletro-h;4252.66;P01--032;2.00;8505.32;0;0;0;2020-05-22;2020-05-28
12345678000199;2021-08-19 00:45:36;0633005160;Controle;4419.53;P01--039;2.00;8839.05;0;0;0;2020-07-23;2020-07-03
12345678000199;2021-08-19 00:45:36;0650327763;TapeTe ;30.46;P12--015;3.00;91.37;0;0;0;2019-03-08;2019-10-28
12345678000199;2021-08-19 00:45:36;0651348037;ETIQUETA;19.20;P02--055;5.00;95.98;0;0;0;2019-04-17;2018-01-30
12345678000199;2021-08-19 00:45:36;0711349370;TAMPAO ;19.47;P16--207;1.00;19.47;0;0;0;2021-01-15;2021-01-13
12345678000199;2021-08-19 00:45:36;0881340942;Mangueira hidraulica;167.10;P12--006;1.00;167.10;0;0;0;2016-11-18;1900-01-01
12345678000199;2021-08-19 00:45:36;08H4419;PARAFUSO SEXT.;11.04;P03--221;2.00;22.07;0;0;0;2020-05-29;2019-12-19
12345678000199;2021-08-19 00:45:36;08H4694;PARAFUSO;9.68;P07--070;22.00;212.99;0;0;0;2020-11-06;2020-11-17
12345678000199;2021-08-19 00:45:36;08H4705;Parafuso sextavado;6.80;P08--062;10.00;67.99;0;0;0;2020-07-15;2020-11-24
12345678000199;2021-08-19 00:45:36;1061;ABRACADEIRA NYLON 200 X 3,5 MM ;0.22;P05--134;13.00;2.82;0;0;0;2020-04-30;2020-02-12
12345678000199;2021-08-19 00:45:36;1062;ABRACADEIRA NYLON280 X 4,8 MM;0.44;P16--101;67.00;29.53;0;0;0;2020-02-21;2020-02-12
12345678000199;2021-08-19 00:45:36;1063;ABRACADEIRA NYLON 360 X 4,8 MM ;0.41;P16--062;32.00;13.12;0;0;0;2020-04-30;2020-04-28
12345678000199;2021-08-19 00:45:36;1065;ABRACADEIRA NYLON 580 X 12,6 MM;4.44;P04--239;50.00;222.21;0;0;0;2015-04-30;2020-04-28
12345678000199;2021-08-19 00:45:36;1191382432;Tubo ;71.29;R02-C-001;1.00;71.29;0;0;0;2020-09-11;2020-09-14
12345678000199;2021-08-19 00:45:36;1191396297;Lamina ;255.76;R04--CHA;1.00;255.76;0;0;0;2019-05-23;2019-09-10
12345678000199;2021-08-19 00:45:36;1191396313;Lamina ;89.43;R03-A-002;1.00;89.43;0;0;0;2018-09-27;2018-09-26
12345678000199;2021-08-19 00:45:36;11H218 ;CONTRA-PINO;0.34;P03--068;3.00;1.01;0;0;0;2019-06-03;1900-01-01
12345678000199;2021-08-19 00:45:36;11H249 ;CONTRA-PINO;12.87;P16--199;10.00;128.73;0;0;0;2020-08-27;2017-05-16
12345678000199;2021-08-19 00:45:36;11M7009;Contra-pino;0.05;P16--183;20.00;1.06;0;0;0;2017-11-22;2020-05-08
12345678000199;2021-08-19 00:45:36;11M7012;Contra-pino;0.48;P02--137;4.00;1.90;0;0;0;2020-03-31;2019-08-05
12345678000199;2021-08-19 00:45:36;11M7017;CONTRA-PINO;0.35;P05--038;6.00;2.10;0;0;0;2020-03-12;2017-03-01
12345678000199;2021-08-19 00:45:36;11M7021;CONTRA-PINO;0.64;P06--105;8.00;5.08;0;0;0;2020-11-23;2018-04-06
12345678000199;2021-08-19 00:45:36;11M7023;Contra-pino;0.69;P16--234;89.00;60.99;0;0;0;2019-03-19;2017-12-06
12345678000199;2021-08-19 00:45:36;11M7028;CONTRA-PINO;0.66;P04--098;29.00;19.28;0;0;0;2020-09-01;2017-01-17
12345678000199;2021-08-19 00:45:36;11M7029;CONTRA-PINO;0.39;P02--126;25.00;9.66;0;0;0;2020-01-02;2019-11-07
12345678000199;2021-08-19 00:45:36;11M7030;CONTRA-PINO;0.83;P06--141;8.00;6.60;0;0;0;2020-10-16;2020-10-14
12345678000199;2021-08-19 00:45:36;11M7032;CONTRA-PINO;0.84;P06--028;36.00;30.19;0;0;0;2019-10-31;2020-01-21
12345678000199;2021-08-19 00:45:36;11M7054;CONTRA-PINO;0.89;P07--106;29.00;25.74;0;0;0;2021-01-05;2020-10-05
12345678000199;2021-08-19 00:45:36;11M7059;CONTRA-PINO;0.41;P02--029;3.00;1.23;0;0;0;2020-03-28;2020-03-02
12345678000199;2021-08-19 00:45:36;11M7082;CONTRA-PINO;0.34;P02--343;4.00;1.35;0;0;0;2020-08-21;2020-03-24
12345678000199;2021-08-19 00:45:36;11M7083;CONTRA-PINO;0.30;P02--192;6.00;1.80;0;0;0;2019-06-10;2019-06-05
12345678000199;2021-08-19 00:45:36;11M7087;CONTRA-PINO;0.26;P05--075;1.00;0.26;0;0;0;2020-08-14;2020-08-18
12345678000199;2021-08-19 00:45:36;11M7092;Contra-pino;0.44;P04--095;6.00;2.65;0;0;0;2017-02-24;2020-06-04
12345678000199;2021-08-19 00:45:36;124424 ;MOLA DE COMPRESSAO;11.44;P11--075;3.00;34.33;0;0;0;2020-01-31;2020-01-30
12345678000199;2021-08-19 00:45:36;12H245 ;ARRUELA DE PRESSAO;1.46;P04--031;2.00;2.92;0;0;0;2015-08-19;2020-04-24
12345678000199;2021-08-19 00:45:36;12H292 ;Arruela de pressao;0.39;P03--079;1.00;0.39;0;0;0;2019-08-10;2019-03-29
12345678000199;2021-08-19 00:45:36;12H294 ;ARRUELA DE PRESSAO;1.25;P07--097;33.00;41.28;0;0;0;2020-12-31;2021-01-06
12345678000199;2021-08-19 00:45:36;12H301 ;ARRUELA DE PRESSAO;0.64;P16--080;37.00;23.62;0;0;0;2020-12-31;2021-01-14
12345678000199;2021-08-19 00:45:36;12M6191;Arrela de disco ;3.00;P02--138;10.00;29.95;0;0;0;2020-03-24;2020-05-05
12345678000199;2021-08-19 00:45:36;12M6601;MOLA DE DISCO;4.16;P03--085;1.00;4.16;0;0;0;2020-06-24;2020-06-22
12345678000199;2021-08-19 00:45:36;12M7044;ARRUELA DE PRESSAO;1.81;P06--144;7.00;12.65;0;0;0;2020-02-27;2019-03-29
12345678000199;2021-08-19 00:45:36;12M7060;ARRUELA;0.13;P05--116;6.00;0.75;0;0;0;2019-11-22;2019-03-06
12345678000199;2021-08-19 00:45:36;12M7065;Arruela de pressao;0.47;P16--158;29.00;13.61;0;0;0;2020-08-12;2019-01-16
12345678000199;2021-08-19 00:45:36;12M7066;ARRUELA DE PRESSAO;0.17;P07--064;10.00;1.67;0;0;0;2020-08-11;2019-04-22
12345678000199;2021-08-19 00:45:36;12M7067;ARRUELA DE PRESSAO;0.54;P10--004;10.00;5.36;0;0;0;2020-03-01;2019-04-18
12345678000199;2021-08-19 00:45:36;12M7069;ARRUELA DE PRESSAO;0.84;P07--096;13.00;10.86;0;0;0;2019-05-31;2018-02-09
12345678000199;2021-08-19 00:45:36;12P1011;Anel o ;1.97;P04--091;10.00;19.72;0;0;0;2019-02-04;2020-02-03
12345678000199;2021-08-19 00:45:36;12P1013;ANEL O ;0.83;P03--247;4.00;3.30;0;0;0;2020-05-04;2020-04-15
12345678000199;2021-08-19 00:45:36;13P1004;Rolamento de esfeRas;56.41;P08--089;4.00;225.62;0;0;0;2020-12-21;2020-11-23
12345678000199;2021-08-19 00:45:36;13P1008;Rolamento de esfeRas;8.94;P04--045;10.00;89.42;0;0;0;2020-12-21;2021-01-22
12345678000199;2021-08-19 00:45:36;13P1018;ROLAMENTO DE ESFERAS;89.35;P04--052;2.00;178.69;0;0;0;2020-03-26;2019-02-14
12345678000199;2021-08-19 00:45:36;13P1023;ROLAMENTO ;280.52;P03--048;1.00;280.52;0;0;0;2019-04-23;2019-04-24
12345678000199;2021-08-19 00:45:36;13P1037;ROLAMENTO DE ESFERAS;22.06;P11--016;7.00;154.45;0;0;0;2012-11-20;2020-12-09
